Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,PassengerId
0,3,0,22,1,0,7.25,FALSE,TRUE,1
1,1,1,38,1,0,71.2833,FALSE,FALSE,2
1,3,1,26,0,0,7.925,FALSE,TRUE,3
1,1,1,35,1,0,53.1,FALSE,TRUE,4
0,3,0,35,0,0,8.05,FALSE,TRUE,5
0,3,0,28,0,0,8.4583,TRUE,FALSE,6
0,1,0,54,0,0,51.8625,FALSE,TRUE,7
0,3,0,2,3,1,21.075,FALSE,TRUE,8
1,3,1,27,0,2,11.1333,FALSE,TRUE,9
1,2,1,14,1,0,30.0708,FALSE,FALSE,10
1,3,1,4,1,1,16.7,FALSE,TRUE,11
1,1,1,58,0,0,26.55,FALSE,TRUE,12
0,3,0,20,0,0,8.05,FALSE,TRUE,13
0,3,0,39,1,5,31.275,FALSE,TRUE,14
0,3,1,14,0,0,7.8542,FALSE,TRUE,15
1,2,1,55,0,0,16,FALSE,TRUE,16
0,3,0,2,4,1,29.125,TRUE,FALSE,17
1,2,0,28,0,0,13,FALSE,TRUE,18
0,3,1,31,1,0,18,FALSE,TRUE,19
1,3,1,28,0,0,7.225,FALSE,FALSE,20
0,2,0,35,0,0,26,FALSE,TRUE,21
1,2,0,34,0,0,13,FALSE,TRUE,22
1,3,1,15,0,0,8.0292,TRUE,FALSE,23
1,1,0,28,0,0,35.5,FALSE,TRUE,24
0,3,1,8,3,1,21.075,FALSE,TRUE,25
1,3,1,38,1,5,31.3875,FALSE,TRUE,26
0,3,0,28,0,0,7.225,FALSE,FALSE,27
0,1,0,19,3,2,263,FALSE,TRUE,28
1,3,1,28,0,0,7.8792,TRUE,FALSE,29
0,3,0,28,0,0,7.8958,FALSE,TRUE,30
0,1,0,40,0,0,27.7208,FALSE,FALSE,31
1,1,1,28,1,0,146.5208,FALSE,FALSE,32
1,3,1,28,0,0,7.75,TRUE,FALSE,33
0,2,0,66,0,0,10.5,FALSE,TRUE,34
0,1,0,28,1,0,82.1708,FALSE,FALSE,35
0,1,0,42,1,0,52,FALSE,TRUE,36
1,3,0,28,0,0,7.2292,FALSE,FALSE,37
0,3,0,21,0,0,8.05,FALSE,TRUE,38
0,3,1,18,2,0,18,FALSE,TRUE,39
1,3,1,14,1,0,11.2417,FALSE,FALSE,40
0,3,1,40,1,0,9.475,FALSE,TRUE,41
0,2,1,27,1,0,21,FALSE,TRUE,42
0,3,0,28,0,0,7.8958,FALSE,FALSE,43
1,2,1,3,1,2,41.5792,FALSE,FALSE,44
1,3,1,19,0,0,7.8792,TRUE,FALSE,45
0,3,0,28,0,0,8.05,FALSE,TRUE,46
0,3,0,28,1,0,15.5,TRUE,FALSE,47
1,3,1,28,0,0,7.75,TRUE,FALSE,48
0,3,0,28,2,0,21.6792,FALSE,FALSE,49
0,3,1,18,1,0,17.8,FALSE,TRUE,50
0,3,0,7,4,1,39.6875,FALSE,TRUE,51
0,3,0,21,0,0,7.8,FALSE,TRUE,52
1,1,1,49,1,0,76.7292,FALSE,FALSE,53
1,2,1,29,1,0,26,FALSE,TRUE,54
0,1,0,65,0,1,61.9792,FALSE,FALSE,55
1,1,0,28,0,0,35.5,FALSE,TRUE,56
1,2,1,21,0,0,10.5,FALSE,TRUE,57
0,3,0,28.5,0,0,7.2292,FALSE,FALSE,58
1,2,1,5,1,2,27.75,FALSE,TRUE,59
0,3,0,11,5,2,46.9,FALSE,TRUE,60
0,3,0,22,0,0,7.2292,FALSE,FALSE,61
1,1,1,38,0,0,80,FALSE,TRUE,62
0,1,0,45,1,0,83.475,FALSE,TRUE,63
0,3,0,4,3,2,27.9,FALSE,TRUE,64
0,1,0,28,0,0,27.7208,FALSE,FALSE,65
1,3,0,28,1,1,15.2458,FALSE,FALSE,66
1,2,1,29,0,0,10.5,FALSE,TRUE,67
0,3,0,19,0,0,8.1583,FALSE,TRUE,68
1,3,1,17,4,2,7.925,FALSE,TRUE,69
0,3,0,26,2,0,8.6625,FALSE,TRUE,70
0,2,0,32,0,0,10.5,FALSE,TRUE,71
0,3,1,16,5,2,46.9,FALSE,TRUE,72
0,2,0,21,0,0,73.5,FALSE,TRUE,73
0,3,0,26,1,0,14.4542,FALSE,FALSE,74
1,3,0,32,0,0,56.4958,FALSE,TRUE,75
0,3,0,25,0,0,7.65,FALSE,TRUE,76
0,3,0,28,0,0,7.8958,FALSE,TRUE,77
0,3,0,28,0,0,8.05,FALSE,TRUE,78
1,2,0,0.83,0,2,29,FALSE,TRUE,79
1,3,1,30,0,0,12.475,FALSE,TRUE,80
0,3,0,22,0,0,9,FALSE,TRUE,81
1,3,0,29,0,0,9.5,FALSE,TRUE,82
1,3,1,28,0,0,7.7875,TRUE,FALSE,83
0,1,0,28,0,0,47.1,FALSE,TRUE,84
1,2,1,17,0,0,10.5,FALSE,TRUE,85
1,3,1,33,3,0,15.85,FALSE,TRUE,86
0,3,0,16,1,3,34.375,FALSE,TRUE,87
0,3,0,28,0,0,8.05,FALSE,TRUE,88
1,1,1,23,3,2,263,FALSE,TRUE,89
0,3,0,24,0,0,8.05,FALSE,TRUE,90
0,3,0,29,0,0,8.05,FALSE,TRUE,91
0,3,0,20,0,0,7.8542,FALSE,TRUE,92
0,1,0,46,1,0,61.175,FALSE,TRUE,93
0,3,0,26,1,2,20.575,FALSE,TRUE,94
0,3,0,59,0,0,7.25,FALSE,TRUE,95
0,3,0,28,0,0,8.05,FALSE,TRUE,96
0,1,0,71,0,0,34.6542,FALSE,FALSE,97
1,1,0,23,0,1,63.3583,FALSE,FALSE,98
1,2,1,34,0,1,23,FALSE,TRUE,99
0,2,0,34,1,0,26,FALSE,TRUE,100
0,3,1,28,0,0,7.8958,FALSE,TRUE,101
0,3,0,28,0,0,7.8958,FALSE,TRUE,102
0,1,0,21,0,1,77.2875,FALSE,TRUE,103
0,3,0,33,0,0,8.6542,FALSE,TRUE,104
0,3,0,37,2,0,7.925,FALSE,TRUE,105
0,3,0,28,0,0,7.8958,FALSE,TRUE,106
1,3,1,21,0,0,7.65,FALSE,TRUE,107
1,3,0,28,0,0,7.775,FALSE,TRUE,108
0,3,0,38,0,0,7.8958,FALSE,TRUE,109
1,3,1,28,1,0,24.15,TRUE,FALSE,110
0,1,0,47,0,0,52,FALSE,TRUE,111
0,3,1,14.5,1,0,14.4542,FALSE,FALSE,112
0,3,0,22,0,0,8.05,FALSE,TRUE,113
0,3,1,20,1,0,9.825,FALSE,TRUE,114
0,3,1,17,0,0,14.4583,FALSE,FALSE,115
0,3,0,21,0,0,7.925,FALSE,TRUE,116
0,3,0,70.5,0,0,7.75,TRUE,FALSE,117
0,2,0,29,1,0,21,FALSE,TRUE,118
0,1,0,24,0,1,247.5208,FALSE,FALSE,119
0,3,1,2,4,2,31.275,FALSE,TRUE,120
0,2,0,21,2,0,73.5,FALSE,TRUE,121
0,3,0,28,0,0,8.05,FALSE,TRUE,122
0,2,0,32.5,1,0,30.0708,FALSE,FALSE,123
1,2,1,32.5,0,0,13,FALSE,TRUE,124
0,1,0,54,0,1,77.2875,FALSE,TRUE,125
1,3,0,12,1,0,11.2417,FALSE,FALSE,126
0,3,0,28,0,0,7.75,TRUE,FALSE,127
1,3,0,24,0,0,7.1417,FALSE,TRUE,128
1,3,1,28,1,1,22.3583,FALSE,FALSE,129
0,3,0,45,0,0,6.975,FALSE,TRUE,130
0,3,0,33,0,0,7.8958,FALSE,FALSE,131
0,3,0,20,0,0,7.05,FALSE,TRUE,132
0,3,1,47,1,0,14.5,FALSE,TRUE,133
1,2,1,29,1,0,26,FALSE,TRUE,134
0,2,0,25,0,0,13,FALSE,TRUE,135
0,2,0,23,0,0,15.0458,FALSE,FALSE,136
1,1,1,19,0,2,26.2833,FALSE,TRUE,137
0,1,0,37,1,0,53.1,FALSE,TRUE,138
0,3,0,16,0,0,9.2167,FALSE,TRUE,139
0,1,0,24,0,0,79.2,FALSE,FALSE,140
0,3,1,28,0,2,15.2458,FALSE,FALSE,141
1,3,1,22,0,0,7.75,FALSE,TRUE,142
1,3,1,24,1,0,15.85,FALSE,TRUE,143
0,3,0,19,0,0,6.75,TRUE,FALSE,144
0,2,0,18,0,0,11.5,FALSE,TRUE,145
0,2,0,19,1,1,36.75,FALSE,TRUE,146
1,3,0,27,0,0,7.7958,FALSE,TRUE,147
0,3,1,9,2,2,34.375,FALSE,TRUE,148
0,2,0,36.5,0,2,26,FALSE,TRUE,149
0,2,0,42,0,0,13,FALSE,TRUE,150
0,2,0,51,0,0,12.525,FALSE,TRUE,151
1,1,1,22,1,0,66.6,FALSE,TRUE,152
0,3,0,55.5,0,0,8.05,FALSE,TRUE,153
0,3,0,40.5,0,2,14.5,FALSE,TRUE,154
0,3,0,28,0,0,7.3125,FALSE,TRUE,155
0,1,0,51,0,1,61.3792,FALSE,FALSE,156
1,3,1,16,0,0,7.7333,TRUE,FALSE,157
0,3,0,30,0,0,8.05,FALSE,TRUE,158
0,3,0,28,0,0,8.6625,FALSE,TRUE,159
0,3,0,28,8,2,69.55,FALSE,TRUE,160
0,3,0,44,0,1,16.1,FALSE,TRUE,161
1,2,1,40,0,0,15.75,FALSE,TRUE,162
0,3,0,26,0,0,7.775,FALSE,TRUE,163
0,3,0,17,0,0,8.6625,FALSE,TRUE,164
0,3,0,1,4,1,39.6875,FALSE,TRUE,165
1,3,0,9,0,2,20.525,FALSE,TRUE,166
1,1,1,28,0,1,55,FALSE,TRUE,167
0,3,1,45,1,4,27.9,FALSE,TRUE,168
0,1,0,28,0,0,25.925,FALSE,TRUE,169
0,3,0,28,0,0,56.4958,FALSE,TRUE,170
0,1,0,61,0,0,33.5,FALSE,TRUE,171
0,3,0,4,4,1,29.125,TRUE,FALSE,172
1,3,1,1,1,1,11.1333,FALSE,TRUE,173
0,3,0,21,0,0,7.925,FALSE,TRUE,174
0,1,0,56,0,0,30.6958,FALSE,FALSE,175
0,3,0,18,1,1,7.8542,FALSE,TRUE,176
0,3,0,28,3,1,25.4667,FALSE,TRUE,177
0,1,1,50,0,0,28.7125,FALSE,FALSE,178
0,2,0,30,0,0,13,FALSE,TRUE,179
0,3,0,36,0,0,0,FALSE,TRUE,180
0,3,1,28,8,2,69.55,FALSE,TRUE,181
0,2,0,28,0,0,15.05,FALSE,FALSE,182
0,3,0,9,4,2,31.3875,FALSE,TRUE,183
1,2,0,1,2,1,39,FALSE,TRUE,184
1,3,1,4,0,2,22.025,FALSE,TRUE,185
0,1,0,28,0,0,50,FALSE,TRUE,186
1,3,1,28,1,0,15.5,TRUE,FALSE,187
1,1,0,45,0,0,26.55,FALSE,TRUE,188
0,3,0,40,1,1,15.5,TRUE,FALSE,189
0,3,0,36,0,0,7.8958,FALSE,TRUE,190
1,2,1,32,0,0,13,FALSE,TRUE,191
0,2,0,19,0,0,13,FALSE,TRUE,192
1,3,1,19,1,0,7.8542,FALSE,TRUE,193
1,2,0,3,1,1,26,FALSE,TRUE,194
1,1,1,44,0,0,27.7208,FALSE,FALSE,195
1,1,1,58,0,0,146.5208,FALSE,FALSE,196
0,3,0,28,0,0,7.75,TRUE,FALSE,197
0,3,0,42,0,1,8.4042,FALSE,TRUE,198
1,3,1,28,0,0,7.75,TRUE,FALSE,199
0,2,1,24,0,0,13,FALSE,TRUE,200
0,3,0,28,0,0,9.5,FALSE,TRUE,201
0,3,0,28,8,2,69.55,FALSE,TRUE,202
0,3,0,34,0,0,6.4958,FALSE,TRUE,203
0,3,0,45.5,0,0,7.225,FALSE,FALSE,204
1,3,0,18,0,0,8.05,FALSE,TRUE,205
0,3,1,2,0,1,10.4625,FALSE,TRUE,206
0,3,0,32,1,0,15.85,FALSE,TRUE,207
1,3,0,26,0,0,18.7875,FALSE,FALSE,208
1,3,1,16,0,0,7.75,TRUE,FALSE,209
1,1,0,40,0,0,31,FALSE,FALSE,210
0,3,0,24,0,0,7.05,FALSE,TRUE,211
1,2,1,35,0,0,21,FALSE,TRUE,212
0,3,0,22,0,0,7.25,FALSE,TRUE,213
0,2,0,30,0,0,13,FALSE,TRUE,214
0,3,0,28,1,0,7.75,TRUE,FALSE,215
1,1,1,31,1,0,113.275,FALSE,FALSE,216
1,3,1,27,0,0,7.925,FALSE,TRUE,217
0,2,0,42,1,0,27,FALSE,TRUE,218
1,1,1,32,0,0,76.2917,FALSE,FALSE,219
0,2,0,30,0,0,10.5,FALSE,TRUE,220
1,3,0,16,0,0,8.05,FALSE,TRUE,221
0,2,0,27,0,0,13,FALSE,TRUE,222
0,3,0,51,0,0,8.05,FALSE,TRUE,223
0,3,0,28,0,0,7.8958,FALSE,TRUE,224
1,1,0,38,1,0,90,FALSE,TRUE,225
0,3,0,22,0,0,9.35,FALSE,TRUE,226
1,2,0,19,0,0,10.5,FALSE,TRUE,227
0,3,0,20.5,0,0,7.25,FALSE,TRUE,228
0,2,0,18,0,0,13,FALSE,TRUE,229
0,3,1,28,3,1,25.4667,FALSE,TRUE,230
1,1,1,35,1,0,83.475,FALSE,TRUE,231
0,3,0,29,0,0,7.775,FALSE,TRUE,232
0,2,0,59,0,0,13.5,FALSE,TRUE,233
1,3,1,5,4,2,31.3875,FALSE,TRUE,234
0,2,0,24,0,0,10.5,FALSE,TRUE,235
0,3,1,28,0,0,7.55,FALSE,TRUE,236
0,2,0,44,1,0,26,FALSE,TRUE,237
1,2,1,8,0,2,26.25,FALSE,TRUE,238
0,2,0,19,0,0,10.5,FALSE,TRUE,239
0,2,0,33,0,0,12.275,FALSE,TRUE,240
0,3,1,28,1,0,14.4542,FALSE,FALSE,241
1,3,1,28,1,0,15.5,TRUE,FALSE,242
0,2,0,29,0,0,10.5,FALSE,TRUE,243
0,3,0,22,0,0,7.125,FALSE,TRUE,244
0,3,0,30,0,0,7.225,FALSE,FALSE,245
0,1,0,44,2,0,90,TRUE,FALSE,246
0,3,1,25,0,0,7.775,FALSE,TRUE,247
1,2,1,24,0,2,14.5,FALSE,TRUE,248
1,1,0,37,1,1,52.5542,FALSE,TRUE,249
0,2,0,54,1,0,26,FALSE,TRUE,250
0,3,0,28,0,0,7.25,FALSE,TRUE,251
0,3,1,29,1,1,10.4625,FALSE,TRUE,252
0,1,0,62,0,0,26.55,FALSE,TRUE,253
0,3,0,30,1,0,16.1,FALSE,TRUE,254
0,3,1,41,0,2,20.2125,FALSE,TRUE,255
1,3,1,29,0,2,15.2458,FALSE,FALSE,256
1,1,1,28,0,0,79.2,FALSE,FALSE,257
1,1,1,30,0,0,86.5,FALSE,TRUE,258
1,1,1,35,0,0,512.3292,FALSE,FALSE,259
1,2,1,50,0,1,26,FALSE,TRUE,260
0,3,0,28,0,0,7.75,TRUE,FALSE,261
1,3,0,3,4,2,31.3875,FALSE,TRUE,262
0,1,0,52,1,1,79.65,FALSE,TRUE,263
0,1,0,40,0,0,0,FALSE,TRUE,264
0,3,1,28,0,0,7.75,TRUE,FALSE,265
0,2,0,36,0,0,10.5,FALSE,TRUE,266
0,3,0,16,4,1,39.6875,FALSE,TRUE,267
1,3,0,25,1,0,7.775,FALSE,TRUE,268
1,1,1,58,0,1,153.4625,FALSE,TRUE,269
1,1,1,35,0,0,135.6333,FALSE,TRUE,270
0,1,0,28,0,0,31,FALSE,TRUE,271
1,3,0,25,0,0,0,FALSE,TRUE,272
1,2,1,41,0,1,19.5,FALSE,TRUE,273
0,1,0,37,0,1,29.7,FALSE,FALSE,274
1,3,1,28,0,0,7.75,TRUE,FALSE,275
1,1,1,63,1,0,77.9583,FALSE,TRUE,276
0,3,1,45,0,0,7.75,FALSE,TRUE,277
0,2,0,28,0,0,0,FALSE,TRUE,278
0,3,0,7,4,1,29.125,TRUE,FALSE,279
1,3,1,35,1,1,20.25,FALSE,TRUE,280
0,3,0,65,0,0,7.75,TRUE,FALSE,281
0,3,0,28,0,0,7.8542,FALSE,TRUE,282
0,3,0,16,0,0,9.5,FALSE,TRUE,283
1,3,0,19,0,0,8.05,FALSE,TRUE,284
0,1,0,28,0,0,26,FALSE,TRUE,285
0,3,0,33,0,0,8.6625,FALSE,FALSE,286
1,3,0,30,0,0,9.5,FALSE,TRUE,287
0,3,0,22,0,0,7.8958,FALSE,TRUE,288
1,2,0,42,0,0,13,FALSE,TRUE,289
1,3,1,22,0,0,7.75,TRUE,FALSE,290
1,1,1,26,0,0,78.85,FALSE,TRUE,291
1,1,1,19,1,0,91.0792,FALSE,FALSE,292
0,2,0,36,0,0,12.875,FALSE,FALSE,293
0,3,1,24,0,0,8.85,FALSE,TRUE,294
0,3,0,24,0,0,7.8958,FALSE,TRUE,295
0,1,0,28,0,0,27.7208,FALSE,FALSE,296
0,3,0,23.5,0,0,7.2292,FALSE,FALSE,297
0,1,1,2,1,2,151.55,FALSE,TRUE,298
1,1,0,28,0,0,30.5,FALSE,TRUE,299
1,1,1,50,0,1,247.5208,FALSE,FALSE,300
1,3,1,28,0,0,7.75,TRUE,FALSE,301
1,3,0,28,2,0,23.25,TRUE,FALSE,302
0,3,0,19,0,0,0,FALSE,TRUE,303
1,2,1,28,0,0,12.35,TRUE,FALSE,304
0,3,0,28,0,0,8.05,FALSE,TRUE,305
1,1,0,0.92,1,2,151.55,FALSE,TRUE,306
1,1,1,28,0,0,110.8833,FALSE,FALSE,307
1,1,1,17,1,0,108.9,FALSE,FALSE,308
0,2,0,30,1,0,24,FALSE,FALSE,309
1,1,1,30,0,0,56.9292,FALSE,FALSE,310
1,1,1,24,0,0,83.1583,FALSE,FALSE,311
1,1,1,18,2,2,262.375,FALSE,FALSE,312
0,2,1,26,1,1,26,FALSE,TRUE,313
0,3,0,28,0,0,7.8958,FALSE,TRUE,314
0,2,0,43,1,1,26.25,FALSE,TRUE,315
1,3,1,26,0,0,7.8542,FALSE,TRUE,316
1,2,1,24,1,0,26,FALSE,TRUE,317
0,2,0,54,0,0,14,FALSE,TRUE,318
1,1,1,31,0,2,164.8667,FALSE,TRUE,319
1,1,1,40,1,1,134.5,FALSE,FALSE,320
0,3,0,22,0,0,7.25,FALSE,TRUE,321
0,3,0,27,0,0,7.8958,FALSE,TRUE,322
1,2,1,30,0,0,12.35,TRUE,FALSE,323
1,2,1,22,1,1,29,FALSE,TRUE,324
0,3,0,28,8,2,69.55,FALSE,TRUE,325
1,1,1,36,0,0,135.6333,FALSE,FALSE,326
0,3,0,61,0,0,6.2375,FALSE,TRUE,327
1,2,1,36,0,0,13,FALSE,TRUE,328
1,3,1,31,1,1,20.525,FALSE,TRUE,329
1,1,1,16,0,1,57.9792,FALSE,FALSE,330
1,3,1,28,2,0,23.25,TRUE,FALSE,331
0,1,0,45.5,0,0,28.5,FALSE,TRUE,332
0,1,0,38,0,1,153.4625,FALSE,TRUE,333
0,3,0,16,2,0,18,FALSE,TRUE,334
1,1,1,28,1,0,133.65,FALSE,TRUE,335
0,3,0,28,0,0,7.8958,FALSE,TRUE,336
0,1,0,29,1,0,66.6,FALSE,TRUE,337
1,1,1,41,0,0,134.5,FALSE,FALSE,338
1,3,0,45,0,0,8.05,FALSE,TRUE,339
0,1,0,45,0,0,35.5,FALSE,TRUE,340
1,2,0,2,1,1,26,FALSE,TRUE,341
1,1,1,24,3,2,263,FALSE,TRUE,342
0,2,0,28,0,0,13,FALSE,TRUE,343
0,2,0,25,0,0,13,FALSE,TRUE,344
0,2,0,36,0,0,13,FALSE,TRUE,345
1,2,1,24,0,0,13,FALSE,TRUE,346
1,2,1,40,0,0,13,FALSE,TRUE,347
1,3,1,28,1,0,16.1,FALSE,TRUE,348
1,3,0,3,1,1,15.9,FALSE,TRUE,349
0,3,0,42,0,0,8.6625,FALSE,TRUE,350
0,3,0,23,0,0,9.225,FALSE,TRUE,351
0,1,0,28,0,0,35,FALSE,TRUE,352
0,3,0,15,1,1,7.2292,FALSE,FALSE,353
0,3,0,25,1,0,17.8,FALSE,TRUE,354
0,3,0,28,0,0,7.225,FALSE,FALSE,355
0,3,0,28,0,0,9.5,FALSE,TRUE,356
1,1,1,22,0,1,55,FALSE,TRUE,357
0,2,1,38,0,0,13,FALSE,TRUE,358
1,3,1,28,0,0,7.8792,TRUE,FALSE,359
1,3,1,28,0,0,7.8792,TRUE,FALSE,360
0,3,0,40,1,4,27.9,FALSE,TRUE,361
0,2,0,29,1,0,27.7208,FALSE,FALSE,362
0,3,1,45,0,1,14.4542,FALSE,FALSE,363
0,3,0,35,0,0,7.05,FALSE,TRUE,364
0,3,0,28,1,0,15.5,TRUE,FALSE,365
0,3,0,30,0,0,7.25,FALSE,TRUE,366
1,1,1,60,1,0,75.25,FALSE,FALSE,367
1,3,1,28,0,0,7.2292,FALSE,FALSE,368
1,3,1,28,0,0,7.75,TRUE,FALSE,369
1,1,1,24,0,0,69.3,FALSE,FALSE,370
1,1,0,25,1,0,55.4417,FALSE,FALSE,371
0,3,0,18,1,0,6.4958,FALSE,TRUE,372
0,3,0,19,0,0,8.05,FALSE,TRUE,373
0,1,0,22,0,0,135.6333,FALSE,FALSE,374
0,3,1,3,3,1,21.075,FALSE,TRUE,375
1,1,1,28,1,0,82.1708,FALSE,FALSE,376
1,3,1,22,0,0,7.25,FALSE,TRUE,377
0,1,0,27,0,2,211.5,FALSE,FALSE,378
0,3,0,20,0,0,4.0125,FALSE,FALSE,379
0,3,0,19,0,0,7.775,FALSE,TRUE,380
1,1,1,42,0,0,227.525,FALSE,FALSE,381
1,3,1,1,0,2,15.7417,FALSE,FALSE,382
0,3,0,32,0,0,7.925,FALSE,TRUE,383
1,1,1,35,1,0,52,FALSE,TRUE,384
0,3,0,28,0,0,7.8958,FALSE,TRUE,385
0,2,0,18,0,0,73.5,FALSE,TRUE,386
0,3,0,1,5,2,46.9,FALSE,TRUE,387
1,2,1,36,0,0,13,FALSE,TRUE,388
0,3,0,28,0,0,7.7292,TRUE,FALSE,389
1,2,1,17,0,0,12,FALSE,FALSE,390
1,1,0,36,1,2,120,FALSE,TRUE,391
1,3,0,21,0,0,7.7958,FALSE,TRUE,392
0,3,0,28,2,0,7.925,FALSE,TRUE,393
1,1,1,23,1,0,113.275,FALSE,FALSE,394
1,3,1,24,0,2,16.7,FALSE,TRUE,395
0,3,0,22,0,0,7.7958,FALSE,TRUE,396
0,3,1,31,0,0,7.8542,FALSE,TRUE,397
0,2,0,46,0,0,26,FALSE,TRUE,398
0,2,0,23,0,0,10.5,FALSE,TRUE,399
1,2,1,28,0,0,12.65,FALSE,TRUE,400
1,3,0,39,0,0,7.925,FALSE,TRUE,401
0,3,0,26,0,0,8.05,FALSE,TRUE,402
0,3,1,21,1,0,9.825,FALSE,TRUE,403
0,3,0,28,1,0,15.85,FALSE,TRUE,404
0,3,1,20,0,0,8.6625,FALSE,TRUE,405
0,2,0,34,1,0,21,FALSE,TRUE,406
0,3,0,51,0,0,7.75,FALSE,TRUE,407
1,2,0,3,1,1,18.75,FALSE,TRUE,408
0,3,0,21,0,0,7.775,FALSE,TRUE,409
0,3,1,28,3,1,25.4667,FALSE,TRUE,410
0,3,0,28,0,0,7.8958,FALSE,TRUE,411
0,3,0,28,0,0,6.8583,TRUE,FALSE,412
1,1,1,33,1,0,90,TRUE,FALSE,413
0,2,0,28,0,0,0,FALSE,TRUE,414
1,3,0,44,0,0,7.925,FALSE,TRUE,415
0,3,1,28,0,0,8.05,FALSE,TRUE,416
1,2,1,34,1,1,32.5,FALSE,TRUE,417
1,2,1,18,0,2,13,FALSE,TRUE,418
0,2,0,30,0,0,13,FALSE,TRUE,419
0,3,1,10,0,2,24.15,FALSE,TRUE,420
0,3,0,28,0,0,7.8958,FALSE,FALSE,421
0,3,0,21,0,0,7.7333,TRUE,FALSE,422
0,3,0,29,0,0,7.875,FALSE,TRUE,423
0,3,1,28,1,1,14.4,FALSE,TRUE,424
0,3,0,18,1,1,20.2125,FALSE,TRUE,425
0,3,0,28,0,0,7.25,FALSE,TRUE,426
1,2,1,28,1,0,26,FALSE,TRUE,427
1,2,1,19,0,0,26,FALSE,TRUE,428
0,3,0,28,0,0,7.75,TRUE,FALSE,429
1,3,0,32,0,0,8.05,FALSE,TRUE,430
1,1,0,28,0,0,26.55,FALSE,TRUE,431
1,3,1,28,1,0,16.1,FALSE,TRUE,432
1,2,1,42,1,0,26,FALSE,TRUE,433
0,3,0,17,0,0,7.125,FALSE,TRUE,434
0,1,0,50,1,0,55.9,FALSE,TRUE,435
1,1,1,14,1,2,120,FALSE,TRUE,436
0,3,1,21,2,2,34.375,FALSE,TRUE,437
1,2,1,24,2,3,18.75,FALSE,TRUE,438
0,1,0,64,1,4,263,FALSE,TRUE,439
0,2,0,31,0,0,10.5,FALSE,TRUE,440
1,2,1,45,1,1,26.25,FALSE,TRUE,441
0,3,0,20,0,0,9.5,FALSE,TRUE,442
0,3,0,25,1,0,7.775,FALSE,TRUE,443
1,2,1,28,0,0,13,FALSE,TRUE,444
1,3,0,28,0,0,8.1125,FALSE,TRUE,445
1,1,0,4,0,2,81.8583,FALSE,TRUE,446
